,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
191,,,,,,,4.3,3.2,3.0,3.5,3.6,3.7,,3.03,3.7,3.6,3.6,3.6
192,,,,,,,,2.7,2.5,3.3,3.6,3.6,3.2,3.08,3.7,3.9,4.3,
193,9.5,9.4,9.4,9.0,9.3,9.3,9.2,9.2,9.2,9.3,9.3,9.2,9.2,9.3,8.8,8.9,8.7,8.9
194,8.9,8.9,8.6,8.4,8.5,8.8,9.1,9.1,9.1,9.0,9.0,9.0,8.7,8.8,8.6,8.5,8.6,8.6
195,,,,,,3.4,3.4,3.4,2.9,2.4,2.1,2.6,2.5,2.56,2.6,1.7,2.0,1.8
196,,,,,,,,,,,2.0,,,,,,,
197,5.3,5.6,5.5,5.9,5.6,5.7,5.6,5.9,5.9,5.7,5.7,5.6,5.8,6.14,6.1,6.1,6.1,6.2
198,,,,,,1.8,2.0,2.1,2.2,2.1,,2.0,2.1,2.27,2.2,2.2,2.3,2.6
199,1.9,1.9,2.5,2.2,2.7,2.5,2.8,2.9,2.9,3.2,3.0,2.6,2.7,2.95,3.5,3.3,3.1,3.0
200,3.0,3.2,3.2,3.2,3.2,3.3,3.6,3.8,3.6,3.3,3.5,3.4,3.5,3.38,3.7,3.5,3.8,3.8
201,,,,,,,,,,,,,,,,,4.5,4.2
202,,,,,,,,,,,,,,,,,,7.6
203,,,,,,,,,2.6,2.6,2.2,2.2,2.5,2.38,3.3,3.0,2.8,2.8
204,,,,,,,,,2.4,2.3,2.7,2.8,2.4,2.38,3.0,2.9,2.9,3.2
205,,,,,,,,,,1.7,2.4,3.0,3.0,3.14,,,,
206,,,,,,4.6,4.2,3.8,3.2,3.4,3.6,3.6,3.6,3.17,3.9,3.8,3.8,3.9
207,,,,5.3,4.9,,,,,,,,,,,,,
208,5.0,5.0,5.2,5.3,4.8,4.9,5.0,4.9,4.6,4.2,4.4,4.2,4.3,3.76,4.1,4.1,4.0,3.8
209,3.4,3.6,3.8,3.6,3.2,3.1,3.2,3.5,3.8,4.1,4.6,4.4,4.4,4.21,4.9,5.0,4.5,4.2
210,,,,,,,2.0,1.8,2.2,2.0,1.8,1.8,1.6,1.6,1.7,1.7,1.7,1.8
211,2.6,2.2,2.3,1.9,2.1,2.2,2.6,2.5,2.7,2.8,2.6,2.5,2.5,2.43,2.9,2.6,2.6,2.5
212,2.8,2.6,1.5,2.1,2.4,2.3,2.2,2.6,2.8,2.7,2.5,2.2,2.4,2.3,2.6,2.5,2.6,2.7
213,,,,,,5.2,6.1,6.2,6.2,5.7,5.9,6.5,6.3,6.82,6.8,6.9,7.0,7.0
214,8.7,8.6,8.7,8.3,8.7,8.7,8.6,8.6,8.6,8.4,7.7,7.7,7.6,7.78,7.4,7.6,7.8,8.1
215,7.5,,,,,,,,,,,7.5,7.1,7.14,7.3,7.3,7.4,
216,4.3,4.4,,5.1,5.1,5.5,6.2,5.9,6.4,6.7,6.9,6.7,6.9,7.04,7.2,7.3,7.3,7.4
217,,7.5,7.8,7.6,7.7,7.5,7.5,7.6,7.3,7.2,7.3,,,,,,,
218,,1.8,2.4,2.7,2.9,2.4,2.3,2.2,2.1,1.7,1.8,1.7,1.6,1.62,1.7,1.7,1.8,1.9
219,,,,,,,,,,3.1,2.9,3.2,3.6,3.53,,,,
220,2.3,2.6,2.7,2.8,2.5,2.4,2.3,2.3,2.3,2.0,1.9,1.9,2.0,1.89,1.9,2.0,1.9,1.7
221,2.5,2.6,2.5,2.6,2.4,2.4,2.6,2.6,,,,2.7,2.7,2.86,3.1,3.1,3.1,3.1
222,,,,,,,,,2.6,2.6,2.7,,,,,,,
223,,,,,,2.6,2.4,2.7,2.6,2.5,2.3,2.1,2.2,2.08,2.3,1.8,1.9,1.8
224,3.0,2.0,1.3,,,,,,,,,,,,,,,
225,3.5,3.5,3.4,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.8,3.0,3.0,3.2,3.7,3.8,3.8,3.8
226,4.2,4.1,3.0,2.9,2.7,2.3,2.3,2.6,2.4,2.1,1.8,2.2,2.4,2.23,2.0,2.1,2.1,2.1
